Prime : 2	Time : 2.20421e-06
Prime : 3	Time : 9.36501e-05
Prime : 5	Time : 9.7621e-05
Prime : 7	Time : 9.99421e-05
Prime : 11	Time : 0.000102153
Prime : 13	Time : 0.000104587
Prime : 17	Time : 0.000106758
Prime : 19	Time : 0.000108916
Prime : 23	Time : 0.000111037
Prime : 29	Time : 0.000113284
Prime : 31	Time : 0.000115362
Prime : 37	Time : 0.000117496
Prime : 41	Time : 0.000119655
Prime : 43	Time : 0.000121744
Prime : 47	Time : 0.000123866
Prime : 53	Time : 0.000126089
Prime : 59	Time : 0.000128325
Prime : 61	Time : 0.000130476
Prime : 67	Time : 0.000132722
Prime : 71	Time : 0.000134901
Prime : 73	Time : 0.000137062
Prime : 79	Time : 0.000139343
Prime : 83	Time : 0.000141577
Prime : 89	Time : 0.000143853
Prime : 97	Time : 0.000146211
Prime : 101	Time : 0.000148463
Prime : 103	Time : 0.000150718
Prime : 107	Time : 0.000153042
Prime : 109	Time : 0.000155271
Prime : 113	Time : 0.000157561
Prime : 127	Time : 0.00016016
Prime : 131	Time : 0.00016269
Prime : 137	Time : 0.000165146
Prime : 139	Time : 0.000167469
Prime : 149	Time : 0.000170017
Prime : 151	Time : 0.000172334
Prime : 157	Time : 0.000174779
Prime : 163	Time : 0.000177267
Prime : 167	Time : 0.000179748
Prime : 173	Time : 0.000182284
Prime : 179	Time : 0.000184775
Prime : 181	Time : 0.00018723
Prime : 191	Time : 0.00018995
Prime : 193	Time : 0.000192458
Prime : 197	Time : 0.000194937
Prime : 199	Time : 0.00019741
Prime : 211	Time : 0.000200223
Prime : 223	Time : 0.000203063
Prime : 227	Time : 0.000205688
Prime : 229	Time : 0.000208246
Prime : 233	Time : 0.000210871
Prime : 239	Time : 0.000213494
Prime : 241	Time : 0.000216097
Prime : 251	Time : 0.000218903
Prime : 257	Time : 0.000221718
Prime : 263	Time : 0.000224426
Prime : 269	Time : 0.000227111
Prime : 271	Time : 0.000229744
Prime : 277	Time : 0.000232534
Prime : 281	Time : 0.000235252
Prime : 283	Time : 0.000237935
Prime : 293	Time : 0.000240882
Prime : 307	Time : 0.000243921
Prime : 311	Time : 0.00024671
Prime : 313	Time : 0.000249489
Prime : 317	Time : 0.000252305
Prime : 331	Time : 0.000255497
Prime : 337	Time : 0.000258382
Prime : 347	Time : 0.000261424
Prime : 349	Time : 0.000264249
Prime : 353	Time : 0.000267149
Prime : 359	Time : 0.000270071
Prime : 367	Time : 0.000273179
Prime : 373	Time : 0.000276206
Prime : 379	Time : 0.000279258
Prime : 383	Time : 0.000282242
Prime : 389	Time : 0.000285297
Prime : 397	Time : 0.000288442
Prime : 401	Time : 0.000291446
Prime : 409	Time : 0.000294636
Prime : 419	Time : 0.000297896
Prime : 421	Time : 0.000304194
Prime : 431	Time : 0.000307426
Prime : 433	Time : 0.000310483
Prime : 439	Time : 0.000313701
Prime : 443	Time : 0.000316823
Prime : 449	Time : 0.00031999
Prime : 457	Time : 0.000323316
Prime : 461	Time : 0.000326478
Prime : 463	Time : 0.000331347
Prime : 467	Time : 0.000334505
Prime : 479	Time : 0.000337923
Prime : 487	Time : 0.000341247
Prime : 491	Time : 0.000345615
Prime : 499	Time : 0.000350716
Prime : 503	Time : 0.000358719
Prime : 509	Time : 0.000363913
Prime : 521	Time : 0.000387298
Prime : 523	Time : 0.000397515
Prime : 541	Time : 0.000406185
Prime : 547	Time : 0.000416195
Prime : 557	Time : 0.000421326
Prime : 563	Time : 0.000430944
Prime : 569	Time : 0.000435866
Prime : 571	Time : 0.000440401
Prime : 577	Time : 0.000446766
Prime : 587	Time : 0.000452028
Prime : 593	Time : 0.000457129
Prime : 599	Time : 0.000462027
Prime : 601	Time : 0.000466959
Prime : 607	Time : 0.000472125
Prime : 613	Time : 0.000477353
Prime : 617	Time : 0.000482449
Prime : 619	Time : 0.000487494
Prime : 631	Time : 0.000492997
Prime : 641	Time : 0.000498475
Prime : 643	Time : 0.000503718
Prime : 647	Time : 0.000508876
Prime : 653	Time : 0.000514262
Prime : 659	Time : 0.000519685
Prime : 661	Time : 0.000524916
Prime : 673	Time : 0.000530518
Prime : 677	Time : 0.000535912
Prime : 683	Time : 0.000541605
Prime : 691	Time : 0.000547362
Prime : 701	Time : 0.000553486
Prime : 709	Time : 0.000559217
Prime : 719	Time : 0.000564929
Prime : 727	Time : 0.000570642
Prime : 733	Time : 0.000576409
Prime : 739	Time : 0.000582122
Prime : 743	Time : 0.000587494
Prime : 751	Time : 0.00059337
Prime : 757	Time : 0.000599225
Prime : 761	Time : 0.000610151
Prime : 769	Time : 0.000617306
Prime : 773	Time : 0.000623213
Prime : 787	Time : 0.00062916
Prime : 797	Time : 0.000635072
Prime : 809	Time : 0.000641416
Prime : 811	Time : 0.000647028
Prime : 821	Time : 0.000652954
Prime : 823	Time : 0.000658756
Prime : 827	Time : 0.000664433
Prime : 829	Time : 0.000670231
Prime : 839	Time : 0.000676155
Prime : 853	Time : 0.000682469
Prime : 857	Time : 0.000688265
Prime : 859	Time : 0.000694212
Prime : 863	Time : 0.000700091
Prime : 877	Time : 0.000706325
Prime : 881	Time : 0.000712355
Prime : 883	Time : 0.000718233
Prime : 887	Time : 0.000724169
Prime : 907	Time : 0.000730891
Prime : 911	Time : 0.000736948
Prime : 919	Time : 0.000743151
Prime : 929	Time : 0.000749368
Prime : 937	Time : 0.000755471
Prime : 941	Time : 0.00076154
Prime : 947	Time : 0.000767878
Prime : 953	Time : 0.000774186
Prime : 967	Time : 0.000780804
Prime : 971	Time : 0.000786996
Prime : 977	Time : 0.000793487
Prime : 983	Time : 0.000799881
Prime : 991	Time : 0.000806437
Prime : 997	Time : 0.00081298
Prime : 1009	Time : 0.000819919
Prime : 1013	Time : 0.000826432
Prime : 1019	Time : 0.000832839
Prime : 1021	Time : 0.000839147
Prime : 1031	Time : 0.000845756
Prime : 1033	Time : 0.00085224
Prime : 1039	Time : 0.000858871
Prime : 1049	Time : 0.000865501
Prime : 1051	Time : 0.00087205
Prime : 1061	Time : 0.000878849
Prime : 1063	Time : 0.000885651
Prime : 1069	Time : 0.000924395
Prime : 1087	Time : 0.000936076
Prime : 1091	Time : 0.00094279
Prime : 1093	Time : 0.000949401
Prime : 1097	Time : 0.000956
Prime : 1103	Time : 0.000962848
Prime : 1109	Time : 0.000969549
Prime : 1117	Time : 0.000976506
Prime : 1123	Time : 0.000983556
Prime : 1129	Time : 0.00099037
Prime : 1151	Time : 0.000998019
Prime : 1153	Time : 0.00100491
Prime : 1163	Time : 0.00101256
Prime : 1171	Time : 0.00101972
Prime : 1181	Time : 0.00102707
Prime : 1187	Time : 0.0010357
Prime : 1193	Time : 0.00104385
Prime : 1201	Time : 0.00105173
Prime : 1213	Time : 0.00106011
Prime : 1217	Time : 0.00106809
Prime : 1223	Time : 0.00107637
Prime : 1229	Time : 0.00108467
Prime : 1231	Time : 0.0010927
Prime : 1237	Time : 0.00110128
Prime : 1249	Time : 0.00111026
Prime : 1259	Time : 0.00111919
Prime : 1277	Time : 0.00112883
Prime : 1279	Time : 0.00113749
Prime : 1283	Time : 0.00114652
Prime : 1289	Time : 0.00115522
Prime : 1291	Time : 0.00116416
Prime : 1297	Time : 0.00117317
Prime : 1301	Time : 0.00118213
Prime : 1303	Time : 0.00119113
Prime : 1307	Time : 0.00120014
Prime : 1319	Time : 0.00120936
Prime : 1321	Time : 0.00121848
Prime : 1327	Time : 0.00122766
Prime : 1361	Time : 0.00123754
Prime : 1367	Time : 0.0012659
Prime : 1373	Time : 0.00129364
Prime : 1381	Time : 0.00132129
Prime : 1399	Time : 0.00134931
Prime : 1409	Time : 0.0013765
Prime : 1423	Time : 0.00140338
Prime : 1427	Time : 0.00142948
Prime : 1429	Time : 0.00143873
Prime : 1433	Time : 0.00145048
Prime : 1439	Time : 0.00146562
Prime : 1447	Time : 0.00148509
Prime : 1451	Time : 0.00150822
Prime : 1453	Time : 0.00152103
Prime : 1459	Time : 0.00153673
Prime : 1471	Time : 0.00155151
Prime : 1481	Time : 0.00157875
Prime : 1483	Time : 0.00159326
Prime : 1487	Time : 0.00161747
Prime : 1489	Time : 0.00162698
Prime : 1493	Time : 0.00164124
Prime : 1499	Time : 0.00165299
Prime : 1511	Time : 0.00166604
Prime : 1523	Time : 0.00168162
Prime : 1531	Time : 0.00169375
Prime : 1543	Time : 0.0017079
Prime : 1549	Time : 0.0017248
Prime : 1553	Time : 0.00174724
Prime : 1559	Time : 0.00177962
Prime : 1567	Time : 0.00181437
Prime : 1571	Time : 0.00184676
Prime : 1579	Time : 0.00186783
Prime : 1583	Time : 0.00188089
Prime : 1597	Time : 0.00189107
Prime : 1601	Time : 0.00191205
Prime : 1607	Time : 0.0019216
Prime : 1609	Time : 0.00192893
Prime : 1613	Time : 0.00193503
Prime : 1619	Time : 0.00194119
Prime : 1621	Time : 0.0019473
Prime : 1627	Time : 0.00195364
Prime : 1637	Time : 0.00196009
Prime : 1657	Time : 0.00196696
Prime : 1663	Time : 0.00197331
Prime : 1667	Time : 0.00197956
Prime : 1669	Time : 0.0019858
Prime : 1693	Time : 0.00199298
Prime : 1697	Time : 0.00199934
Prime : 1699	Time : 0.00200559
Prime : 1709	Time : 0.00201957
Prime : 1721	Time : 0.00202646
Prime : 1723	Time : 0.00203277
Prime : 1733	Time : 0.00203936
Prime : 1741	Time : 0.00204601
Prime : 1747	Time : 0.00205248
Prime : 1753	Time : 0.00205901
Prime : 1759	Time : 0.0020656
Prime : 1777	Time : 0.00207277
Prime : 1783	Time : 0.00207934
Prime : 1787	Time : 0.00208584
Prime : 1789	Time : 0.00209235
Prime : 1801	Time : 0.00209912
Prime : 1811	Time : 0.00210591
Prime : 1823	Time : 0.00211297
Prime : 1831	Time : 0.00211988
Prime : 1847	Time : 0.00212692
Prime : 1861	Time : 0.00213417
Prime : 1867	Time : 0.00214092
Prime : 1871	Time : 0.00214762
Prime : 1873	Time : 0.00215431
Prime : 1877	Time : 0.00216108
Prime : 1879	Time : 0.00216786
Prime : 1889	Time : 0.00217774
Prime : 1901	Time : 0.00218493
Prime : 1907	Time : 0.00219186
Prime : 1913	Time : 0.00219884
Prime : 1931	Time : 0.00220632
Prime : 1933	Time : 0.00221319
Prime : 1949	Time : 0.00222055
Prime : 1951	Time : 0.00222744
Prime : 1973	Time : 0.00223517
Prime : 1979	Time : 0.0022423
Prime : 1987	Time : 0.00224952
Prime : 1993	Time : 0.00225662
Prime : 1997	Time : 0.00226372
Prime : 1999	Time : 0.00227074
Prime : 2003	Time : 0.00227783
Prime : 2011	Time : 0.002285
Prime : 2017	Time : 0.00229226
Prime : 2027	Time : 0.0022997
Prime : 2029	Time : 0.00230682
Prime : 2039	Time : 0.00231424
Prime : 2053	Time : 0.00232186
Prime : 2063	Time : 0.00232944
Prime : 2069	Time : 0.00233674
Prime : 2081	Time : 0.00234436
Prime : 2083	Time : 0.00235157
Prime : 2087	Time : 0.00235802
Prime : 2089	Time : 0.00236537
Prime : 2099	Time : 0.00237288
Prime : 2111	Time : 0.00238049
Prime : 2113	Time : 0.00238782
Prime : 2129	Time : 0.00239566
Prime : 2131	Time : 0.00240307
Prime : 2137	Time : 0.00241064
Prime : 2141	Time : 0.00241811
Prime : 2143	Time : 0.00242554
Prime : 2153	Time : 0.00243322
Prime : 2161	Time : 0.00244083
Prime : 2179	Time : 0.00244897
Prime : 2203	Time : 0.00245756
Prime : 2207	Time : 0.00246515
Prime : 2213	Time : 0.00247304
Prime : 2221	Time : 0.00248093
Prime : 2237	Time : 0.00248902
Prime : 2239	Time : 0.00249674
Prime : 2243	Time : 0.0025045
Prime : 2251	Time : 0.00251243
Prime : 2267	Time : 0.00252075
Prime : 2269	Time : 0.00252861
Prime : 2273	Time : 0.00253641
Prime : 2281	Time : 0.00254445
Prime : 2287	Time : 0.00255229
